,i_r1,name,type,time,OK
0,13.82131,tran_SchGtKttTlVt,Sch,Fri Feb 14 10:11:18 2025,True
1,24.86854,tran_SchGtKttThVt,Sch,Fri Feb 14 10:11:18 2025,True
2,18.177120000000002,tran_SchGtKttTtVt,Sch,Fri Feb 14 10:11:18 2025,True
